City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sumbe,-11.2061,13.8437,299.75,70,49,3.43,AO,1737737419
83,dudinka,69.4058,86.1778,235.63,97,24,3.46,RU,1737737420
84,amuntai,-2.4177,115.2494,296.39,95,46,0.39,ID,1737737421
85,tralee,52.2704,-9.7026,278.29,81,75,5.66,IE,1737737422
86,alaghsas,17.0187,8.0168,303.09,11,1,9.77,NE,1737737424
87,tago,9.0211,126.2317,298.13,89,65,1.54,PH,1737737425
88,isafjordur,66.0755,-23.124,273.17,74,100,1.03,IS,1737737426
89,raduzhny,62.0961,77.475,262.62,93,100,5.89,RU,1737737427
90,margaret river,-33.95,115.0667,294.31,98,100,1.43,AU,1737737428
91,marchin,50.4671,5.2428,281.92,90,100,9.73,BE,1737737429
92,vadso,70.0744,29.7487,268.24,74,20,8.75,NO,1737737430
93,miyaly,48.8844,53.7836,263.53,84,100,6.67,KZ,1737737432
94,aasiaat,68.7098,-52.8699,258.55,97,100,3.42,GL,1737737433
95,ust-nera,64.5667,143.2,247.25,96,98,3.23,RU,1737737434
96,formiga,-20.4644,-45.4264,297.76,81,92,1.87,BR,1737737435
97,novodvinsk,64.4165,40.8122,258.01,97,82,1.91,RU,1737737436
98,gadzhiyevo,69.2551,33.3362,258.16,100,87,4.58,RU,1737737437
99,stanley,54.868,-1.6985,279.16,52,20,11.83,GB,1737737439
100,olonkinbyen,70.9221,-8.7187,271.67,83,100,4.53,SJ,1737737440
101,axim,4.8699,-2.2405,301.5,73,38,4.41,GH,1737737441
102,tweed heads,-28.1817,153.547,297.17,78,100,5.66,AU,1737737442
103,santa ana,33.7456,-117.8678,292.31,20,23,0.45,US,1737737443
104,shalqar,47.8333,59.6,258.34,80,100,5.71,KZ,1737737444
105,kyren,51.6828,102.1408,258.19,88,100,2.9,RU,1737737446
106,atherton,53.5237,-2.4935,280.87,53,74,3.58,GB,1737737448
107,timimoun,29.2639,0.231,296.36,12,0,5.66,DZ,1737737449
108,newman,37.3138,-121.0208,284.45,46,9,1.32,US,1737737450
109,nuku'alofa,-21.1333,-175.2,298.34,100,20,1.03,TO,1737737275
110,badger,64.8,-147.5333,278.1,76,100,2.06,US,1737737452
111,borongan,11.6333,125.4333,297.8,89,96,1.14,PH,1737737454
112,udachny,66.4167,112.4,243.47,96,100,3.01,RU,1737737455
113,sovetskaya gavan',48.9723,140.2878,255.9,96,22,1.76,RU,1737737344
114,kailua-kona,19.6406,-155.9956,294.13,80,0,4.12,US,1737737457
115,san miguel,13.4833,-88.1833,303.96,48,0,7.2,SV,1737737382
116,longyearbyen,78.2186,15.6401,267.06,86,75,1.03,SJ,1737737459
117,loiza,18.4313,-65.8802,303.4,72,20,7.2,PR,1737737460
118,qaqortoq,60.7167,-46.0333,261.48,92,100,2.03,GL,1737737462
119,pisco,-13.7,-76.2167,295.18,78,0,3.6,PE,1737737463
120,curaca,-8.9903,-39.9094,307.03,29,1,2.97,BR,1737737464
121,revda,56.801,59.9303,261.09,82,100,4.83,RU,1737737465
122,antonio enes,-16.2325,39.9086,298.5,92,100,1.59,MZ,1737737466
123,el nido,11.1858,119.3956,298.23,90,63,1.15,PH,1737737467
124,ilulissat,69.2167,-51.1,262.16,85,75,1.54,GL,1737737468
125,at taj,24.2049,23.2857,291.14,26,0,2.53,LY,1737737470
126,tsiombe,-25.3,45.4833,298.77,80,100,5.64,MG,1737737471
127,upata,8.0086,-62.3989,303.93,46,46,3.85,VE,1737737472
128,hammerfest,70.6634,23.6821,268.4,74,40,5.14,NO,1737737473
129,maintirano,-18.0667,44.0167,299.95,84,100,6.2,MG,1737737474
130,amahai,-3.3333,128.9167,299.31,82,100,1.94,ID,1737737475
131,labrador city,52.9463,-66.9114,254.1,65,75,4.63,CA,1737737477
132,bredasdorp,-34.5322,20.0403,296.93,75,44,5.3,ZA,1737737479
133,lan sak,15.4529,99.5761,296.16,38,73,1.95,TH,1737737480
134,clarksburg,39.2807,-80.3445,271.03,73,100,0.45,US,1737737481
135,nabire,-3.3667,135.4833,297.8,94,100,1.04,ID,1737737483
136,atafu village,-8.5421,-172.5159,301.07,75,35,8.85,TK,1737737484
137,sinabang,2.4803,96.3801,298.0,88,100,0.81,ID,1737737485
138,keflavik,64.0049,-22.5624,273.39,93,100,1.03,IS,1737737487
139,utrik,11.2278,169.8474,299.89,66,95,8.06,MH,1737737488
140,margate,51.3813,1.3862,282.52,69,100,4.91,GB,1737737489
141,borovichi,58.3878,33.9155,274.13,93,100,3.93,RU,1737737491
142,kokkola,63.8385,23.1307,273.24,97,75,4.12,FI,1737737492
143,port alfred,-33.5906,26.891,296.03,91,17,0.45,ZA,1737737493
144,kilindoni,-7.9139,39.6668,300.55,81,5,8.68,TZ,1737737494
145,nuuk,64.1835,-51.7216,262.49,79,20,1.03,GL,1737737495
146,khandyga,62.6667,135.6,259.82,94,100,3.56,RU,1737737496
147,zalesovo,53.9939,84.7431,244.35,99,91,2.17,RU,1737737497
148,thompson,55.7435,-97.8558,263.24,85,100,2.06,CA,1737737499
149,taltal,-25.4,-70.4833,294.79,69,10,3.05,CL,1737737500
150,kudahuvadhoo,2.6708,72.8944,300.46,74,96,1.11,MV,1737737501
